customer_id,account_age,recency,frequency,engagement_duration,feature_usage_count,plan_tier,support_tickets,billing_issues,marketing_ctr,nps_score,inactivity_streak,churn
CUST_000001,171,15,2,4.036447812551122,2,Premium,3,0,1.75,,1,1
CUST_000002,1098,8,7,9.806673898773838,5,Basic,1,1,4.89,6.0,5,0
CUST_000003,480,2,20,3.3726515434226596,8,Premium,0,0,19.53,,9,0
CUST_000004,333,16,1,3.449922986640735,0,Premium,2,0,16.74,5.0,5,1
CUST_000005,61,4,17,0.33582888299464925,7,Basic,0,0,,8.0,1,0
CUST_000006,61,7,13,14.398798649124995,5,Basic,0,0,25.24,,8,0
CUST_000007,21,0,11,4.4014556827953655,7,Basic,1,0,24.41,,1,1
CUST_000008,734,11,5,2.2668787247720745,0,Basic,1,1,2.43,5.0,2,1
CUST_000009,335,5,21,0.037932311236100226,5,Basic,3,1,13.0,,0,0
CUST_000010,449,4,11,155.25265405931668,4,Basic,3,1,2.56,,3,0
CUST_000011,7,19,4,11.415564567343312,2,Standard,1,1,39.21,,0,0
CUST_000012,1278,6,24,16.89627593006018,6,Basic,0,0,,,4,0
CUST_000013,652,13,7,4.430096639825491,2,Basic,1,2,10.45,,8,0
CUST_000014,87,7,7,19.930432812804188,5,Standard,0,0,39.65,,0,0
CUST_000015,73,0,16,22.64465953601026,7,Premium,5,0,22.99,3.0,7,0
CUST_000016,73,11,4,23.996401869620442,1,Basic,2,0,10.43,,2,0
CUST_000017,132,3,11,63.25152737638686,3,Standard,3,0,10.54,8.0,0,0
CUST_000018,271,19,2,3.8090384815683587,2,Standard,2,1,,,33,1
CUST_000019,206,11,5,2.2838665313514954,4,Basic,0,2,11.05,4.0,3,1
CUST_000020,125,3,13,28.956399488656565,6,Basic,0,0,12.24,,7,0
CUST_000021,345,5,16,110.42400573134606,6,Standard,2,0,39.8,,1,0
CUST_000022,54,10,10,7.68431969037628,3,Premium,1,0,25.69,,9,0
CUST_000023,126,6,9,34.866566359314724,2,Enterprise,6,0,15.11,5.0,0,1
CUST_000024,166,8,8,15.229352356953276,5,Basic,0,2,22.31,8.0,5,1
CUST_000025,222,2,9,12.248879308291,4,Standard,0,0,18.11,,2,0
CUST_000026,561,18,2,0.31903330847868905,2,Basic,0,1,14.07,8.0,10,1
CUST_000027,81,3,11,14.65154883789114,7,Enterprise,4,1,21.42,8.0,0,0
CUST_000028,263,11,6,8.622988307086837,5,Premium,0,0,11.69,5.0,3,0
CUST_000029,327,1,11,52.902767895176204,7,Basic,2,1,17.21,,2,0
CUST_000030,17,1,10,24.47804914844289,8,Enterprise,4,0,17.83,,3,1
CUST_000031,341,12,10,45.70233082431787,3,Premium,3,0,16.15,,4,1
CUST_000032,68,2,17,12.734595489910857,8,Standard,0,0,14.11,9.0,1,0
CUST_000033,24,10,13,39.613678821239255,5,Basic,1,2,36.92,,4,1
CUST_000034,1085,12,12,1.0429688627194054,6,Basic,1,2,33.99,,6,0
CUST_000035,1230,24,1,3.3558349926487008,2,Premium,1,0,7.23,,11,1
CUST_000036,603,6,14,22.391125831040995,5,Basic,0,1,21.39,8.0,4,0
CUST_000037,132,0,13,0.39841627745397545,8,Basic,0,1,29.64,,16,1
CUST_000038,37,6,10,0.36047312259211456,3,Basic,1,2,38.5,7.0,11,1
CUST_000039,420,4,8,38.247135851309594,4,Premium,1,0,62.78,,1,0
CUST_000040,211,7,13,65.5319934476194,4,Premium,1,0,14.02,7.0,3,0
CUST_000041,47,9,14,71.04649994924931,5,Standard,3,1,17.8,,15,0
CUST_000042,249,14,11,5.327043399046455,3,Standard,0,0,32.59,,4,0
CUST_000043,12,0,22,79.78693185337498,11,Premium,5,0,14.26,,11,0
CUST_000044,876,17,0,,0,Standard,2,0,1.58,7.0,95,1
CUST_000045,109,5,12,35.23743105943528,5,Basic,0,0,38.03,,1,0
CUST_000046,396,9,9,8.906641156140413,2,Standard,0,0,25.69,,5,0
CUST_000047,136,2,7,10.164914197268791,3,Basic,0,2,19.27,5.0,1,1
CUST_000048,267,6,14,9.645698221202752,6,Premium,0,0,20.24,7.0,4,0
CUST_000049,288,14,7,33.107390278816275,7,Enterprise,3,0,27.1,6.0,5,0
CUST_000050,74,11,9,15.76446007960477,6,Standard,1,0,42.3,,2,0
CUST_000051,1274,5,17,39.55294637370005,8,Enterprise,2,0,3.63,,7,0
CUST_000052,544,14,7,0.7927760170990206,8,Standard,1,0,18.54,5.0,1,1
CUST_000053,1023,3,17,3.086122281149219,7,Basic,1,0,0.62,,0,0
CUST_000054,822,21,0,0.0,0,Basic,0,1,5.1,5.0,21,1
CUST_000055,332,11,10,24.616844139094738,5,Standard,1,0,1.56,,2,0
CUST_000056,930,17,3,0.3271017459258909,1,Basic,1,0,,,1,1
CUST_000057,33,5,12,52.038769063932065,10,Basic,1,3,44.21,,6,0
CUST_000058,79,2,13,24.96997114212494,1,Standard,2,0,29.47,,6,0
CUST_000059,16,2,15,0.7965699853668031,13,Basic,1,1,18.64,10.0,2,0
